,call_type,max_mem,typicality,animal_ID,colony
227,co,0.6385415601395678,0.5431377675409127,418,boffin_2
228,ph,0.7589919077874563,0.6729630056140393,418,boffin_2
229,sq,0.7885097267142611,0.7358723085930834,418,boffin_2
230,sc,0.7844495111759476,0.6771486892121448,409,boffin_2
231,co,0.5113258477084478,0.3692849644793459,409,boffin_2
232,ph,1.0,1.0,409,boffin_2
233,sq,0.5947736133256981,0.49497303074885207,409,boffin_2
234,sc,0.7362570973063612,0.6340841014110075,411,boffin_2
235,sq,0.886385016791803,0.8377252348063859,411,boffin_2
236,sc,0.617244545508028,0.5007969235098225,412,boffin_2
