call_type,timepoint,animal_id,colony,umap_1,umap_2
sc,57,278,boffin,-2.0018203,5.833818
sc,57,278,boffin,1.6598076,6.4074306
sc,57,278,boffin,2.4664278,7.2811995
sc,57,278,boffin,1.4201066,7.510634
sc,57,278,boffin,-0.9176538,6.808579
sc,57,278,boffin,0.21468483,6.5563235
sc,57,278,boffin,-1.6848958,6.2804976
sc,57,278,boffin,-0.531742,7.2360773
sc,57,278,boffin,-0.9939088,6.7623386
sc,57,278,boffin,2.222231,7.281682
sc,57,278,boffin,1.1320643,6.494581
sc,57,278,boffin,2.0495226,5.7236924
sc,57,278,boffin,-1.7946217,6.085519
sc,57,278,boffin,-0.8856642,6.819368
sc,57,278,boffin,-2.1491683,5.419456
sc,57,278,boffin,-1.0967305,6.675752
sc,57,278,boffin,-1.7704566,6.044207
sc,57,278,boffin,-1.9412131,5.868262
sc,57,278,boffin,-1.9533613,5.4767237
sc,57,278,boffin,-1.7799141,6.0712566
sc,57,278,boffin,-1.6947242,6.006543
sc,57,278,boffin,-1.7282985,5.5743337
sc,57,278,boffin,0.78978425,6.758234
sc,57,278,boffin,-1.9768828,5.7578435
sc,57,278,boffin,2.271092,5.3769016
sc,57,278,boffin,0.47730055,6.8056326
sc,57,278,boffin,-1.0339406,6.4022965
sc,57,278,boffin,-2.089119,5.80809
sc,57,278,boffin,-1.764916,6.2603216
sc,57,278,boffin,-1.2124677,6.404961
sc,57,278,boffin,-1.750045,6.3417253
sc,57,278,boffin,-0.98466146,6.782231
sc,57,278,boffin,0.82445574,6.773983
sc,57,278,boffin,-1.4510374,5.930047
sc,57,278,boffin,-1.6342566,6.0412784
sc,57,278,boffin,-1.5776895,5.962055
sc,57,278,boffin,-1.6985339,5.677345
sc,57,278,boffin,-1.4100792,5.9785204
sc,57,278,boffin,0.28504828,6.3853455
sc,57,278,boffin,0.6706602,6.5010595
sc,57,278,boffin,-1.3953018,6.262186
sc,57,278,boffin,0.75302416,6.7304664
sc,57,278,boffin,-1.7490437,5.892764
sc,57,278,boffin,-1.33556,6.2274723
sc,57,278,boffin,-1.81432,5.9469423
sc,57,278,boffin,-1.826636,6.0652075
sc,57,278,boffin,-1.7709273,6.082665
sc,57,278,boffin,-1.716709,5.4673576
sc,57,278,boffin,-1.5831044,5.690876
sc,57,278,boffin,-1.7611415,6.0525465
sc,57,278,boffin,0.5974542,6.2988224
sc,57,278,boffin,-1.801047,5.779467
sc,57,278,boffin,-1.744494,5.7918053
sc,57,278,boffin,-1.7033598,5.683067
sc,57,278,boffin,-1.1278845,6.4358463
sc,57,278,boffin,-1.591963,5.7734513
sc,57,278,boffin,-1.610824,5.8545117
sc,57,278,boffin,2.003552,7.7581472
sc,57,279,boffin,1.0603614,4.9915934
sc,57,279,boffin,-2.0540886,3.3563185
sc,57,279,boffin,-0.46133703,5.6657205
sc,57,279,boffin,1.4838923,5.661046
sc,57,279,boffin,-1.2362261,3.971875
sc,57,279,boffin,-2.1333508,3.237141
sc,57,279,boffin,1.9505513,5.7812777
sc,57,279,boffin,1.5792531,5.511875
sc,57,279,boffin,0.5555348,5.0035586
sc,57,279,boffin,-0.51558286,5.521952
sc,57,279,boffin,1.9039019,5.2077813
sc,57,279,boffin,-0.46247673,5.5657334
sc,57,279,boffin,0.26115426,5.4523177
sc,57,279,boffin,-0.282861,5.02302
sc,57,279,boffin,1.8335185,6.0205865
sc,57,279,boffin,0.7301845,5.111988
sc,57,279,boffin,-0.20906943,5.8375306
sc,57,279,boffin,-0.8682661,4.293635
co,57,279,boffin,9.519245,6.461828
sc,57,279,boffin,-1.3867033,3.9780777
sc,57,279,boffin,-1.0493991,4.168267
sc,57,279,boffin,-0.4287313,4.350139
sc,57,279,boffin,-1.4616964,4.5611496
sc,57,279,boffin,0.44895983,3.8768575
sc,57,279,boffin,-1.7328414,4.358307
sc,57,279,boffin,-0.24622567,4.740947
sc,57,279,boffin,-0.5687698,5.4053917
sc,57,279,boffin,1.1095728,5.0059814
sc,57,279,boffin,1.3833394,5.9071417
sc,57,279,boffin,-1.784236,4.4186788
sc,57,279,boffin,-0.01648389,4.780642
co,57,279,boffin,5.7544236,5.056423
sc,57,279,boffin,-1.0829444,4.4274144
sc,57,279,boffin,0.9746797,4.6896386
sc,57,279,boffin,-0.33317626,4.8175197
sc,57,279,boffin,1.0726678,5.2167187
sc,57,279,boffin,1.4881217,5.163052
sc,57,279,boffin,-2.1964958,3.0573733
sc,57,279,boffin,-0.9058187,5.013108
sc,57,279,boffin,0.55637884,5.3116927
sc,57,279,boffin,-1.0588117,3.80969
sc,57,279,boffin,-0.74849725,5.1013865
sc,57,279,boffin,-0.24012107,5.6594744
sc,57,279,boffin,-0.75373477,5.3146105
sc,57,279,boffin,1.4957612,5.3649316
sc,57,279,boffin,-1.2731795,3.4570656
sc,57,279,boffin,2.0776331,5.5146656
sc,57,279,boffin,1.4703165,4.7228446
sc,57,279,boffin,1.410714,4.6800814
sc,57,279,boffin,1.5105157,5.0165763
sc,57,279,boffin,-2.3575704,3.061477
sc,57,279,boffin,-0.97024536,4.387002
sc,57,279,boffin,1.7630132,4.3757486
sc,57,279,boffin,2.1804013,4.5759478
sc,57,279,boffin,2.51986,4.8996563
sc,57,279,boffin,-0.76882476,4.3951035
sc,57,279,boffin,0.53804815,6.9684463
sc,57,279,boffin,-0.59639484,3.652092
sc,57,279,boffin,-0.5231692,4.460927
sc,57,279,boffin,-1.344029,3.6614416
sc,57,279,boffin,-1.3890033,4.5963297
sc,57,279,boffin,0.4600257,4.950839
sc,57,279,boffin,0.55312896,5.89076
sc,57,279,boffin,2.17517,6.6712494
sc,57,279,boffin,0.791404,4.1545677
sc,57,279,boffin,-0.36211088,4.8907833
sc,57,279,boffin,-2.0989692,3.2228005
co,57,279,boffin,8.907233,6.9665546
ph,57,279,boffin,-1.9890094,3.9854085
sc,57,279,boffin,-1.6232821,2.937018
sc,57,279,boffin,-1.6863302,2.9966817
sc,57,279,boffin,-0.9501751,3.6346853
sc,57,279,boffin,1.4602005,4.027416
sc,57,279,boffin,-1.7283007,2.9392502
sc,57,279,boffin,-1.5722034,3.1377826
sc,57,279,boffin,1.7043223,5.089535
sc,57,279,boffin,4.619014,6.076318
sc,57,279,boffin,1.3044972,5.4808598
sc,57,279,boffin,-2.1482828,3.1764317
sc,57,279,boffin,1.4513729,5.583708
sc,57,279,boffin,-0.8686651,5.557888
