timepoint,animal_ID,colony,pitch,zero_crossings,duration,entropy_variance,mean_entropy,maximum_entropy,broadband,voiced_perc,bandwidth,n_peaks
55,0279,boffin,3503.9427144639535,0.31592979241312363,0.12175453514739225,4.0505650646559775e-05,0.0013284800637743874,0.01831249613766361,0.005821564155458606,0.9044094195047933,1361.8754268244159,1.1602941294904976
51,0279,boffin,3196.9233644445176,0.29632135755762956,0.10913142068421568,1.4794475898519207e-05,0.0011307750377701326,0.014733151290453772,0.004276588545101306,0.9141600307767522,1576.8201615428125,1.164811728691297
41,0279,boffin,3451.595108996472,0.31189172505900914,0.11527394449843426,5.694301936875777e-05,0.0020074012341623638,0.018570957171226934,0.058248175429994026,0.8606850352131027,1485.7377507823985,1.7038529703651293
13,0279,boffin,3219.3510033359894,0.32509366906515624,0.08894891289849269,0.00020041596961910306,0.007105903461654779,0.03939612668938993,0.30426667309030553,0.5575949313347263,1583.793826529857,2.9621673686872363
9,0279,boffin,2900.622292110069,0.34144159862997975,0.07400662829234254,0.00025076427069167253,0.01753780266947062,0.04839899689925118,0.656398915068711,0.40743491993753045,1972.601104140835,5.283887681041849
38,0279,boffin,3493.2527465947805,0.3236020858024347,0.1303162411918172,4.913881272543176e-05,0.003230396406993205,0.021095750052606152,0.1320588137934235,0.8091659333523045,1460.307284408624,2.2489885783892407
5,0279,boffin,2228.9104774766683,0.3508493858254343,0.11301755270009234,0.00039270929731630367,0.016013876536735375,0.07762420490067894,0.7283195789187317,0.4274208170161654,1948.435348269201,4.962555946307686
31,0279,boffin,3189.2438285677267,0.3219180449885942,0.11650536944337479,5.845796219563185e-05,0.0028428677675557588,0.02502202746664218,0.13813010224233502,0.7322811782438164,1589.653327094247,2.391135540877897
27,0279,boffin,2940.7034683893926,0.3262252762440906,0.11547581670030647,3.686451807582916e-05,0.002828930450753914,0.022925250687018815,0.13451973057071617,0.6902447974105081,1648.8589712597036,2.789722579817889
1,0279,boffin,2049.5335839667605,0.3457560505193651,0.11671248091073161,0.00015459929112382045,0.013903722008814326,0.05259114733950632,0.8028130638735849,0.48604125167810824,1903.4911730279296,5.343086285785581
57,0280,boffin,3058.960922451379,0.2909080793902995,0.12164399092970517,2.3563140566805318e-05,0.0019835974337895274,0.019149878476597357,0.023889710079776954,0.9062196861340859,1763.4259292842041,1.6146909476102553
3,0280,boffin,2052.531022994333,0.3239727248479705,0.14784764356192923,0.0003300481266635745,0.016981839604774368,0.06373402674164144,0.5877875598148303,0.4776319348165127,2020.7159242077157,5.263412717738006
24,0280,boffin,2666.563986100337,0.26789354351089034,0.14441477002323558,3.5350943210170014e-05,0.0018337354017713794,0.022144352796316737,0.039506137821751684,0.873626326555795,1771.7091226378402,1.9886494812257245
